title,year,certificate,duration,genre,rating
My Liberation Diary,(2022– ),TV-14,60 min,"Drama, Romance",8.3
How NOT to Summon a Demon Lord,(2018– ),TV-MA,24 min,"Animation, Adventure, Comedy",7
Kidnapping Stella,-2019,TV-MA,89 min,"Crime, Thriller",4.9
Dragons: Race to the Edge,(2015–2018),TV-Y7-FV,22 min,"Animation, Action, Adventure",8.2
Glow Up: Britain's Next Make-Up Star,(2019– ),TV-14,60 min,"Game-Show, Reality-TV",6.9
The Battle of Britain,-1969,G,132 min,"Action, Drama, History",6.9
Worst Roommate Ever,-2022,TV-MA,236 min,"Documentary, Crime, Drama",7.1
Final Score,-2018,R,104 min,"Action, Drama, Thriller",5.8
The One,2021,TV-MA,,"Crime, Drama, Sci-Fi",6.6
The Real Housewives of New York City,(2008– ),TV-14,44 min,Reality-TV,4.6
Ganglands,(2021– ),TV-MA,44 min,"Action, Crime, Drama",7
Tau,-2018,R,97 min,"Sci-Fi, Thriller",5.8
Hit and Run,2012,R,100 min,"Action, Adventure, Comedy",6.1
Taxi Driver,(2021– ),,70 min,"Action, Crime, Drama",8
Love on the Spectrum,(2019–2021),TV-14,45 min,"Documentary, Reality-TV, Romance",8.6
Penguin Bloom,-2020,TV-14,95 min,"Biography, Drama",6.8
Buba,-2022,TV-MA,94 min,"Comedy, Drama",5.8
All the Light We Cannot See,2023,,,"Drama, History, War",
Malang,-2020,Not Rated,135 min,"Action, Crime, Drama",6.5
The Pirates: The Last Royal Treasure,-2022,,126 min,"Action, Adventure, Comedy",6.1
Furioza,-2021,TV-MA,139 min,"Action, Crime, Drama",6.2
Scrooge: A Christmas Carol,-2022,,96 min,"Animation, Adventure, Comedy",
Marauders,-2016,R,107 min,"Action, Crime, Thriller",5.5
Prison Playbook,(2017–2018),,90 min,"Comedy, Drama",8.5
The Future Diary,(2011–2013),TV-MA,25 min,"Animation, Action, Drama",7.5
The Wandering Earth,-2019,TV-MA,125 min,"Action, Adventure, Sci-Fi",5.9
The Paradise,(2012–2013),TV-PG,60 min,Drama,7.7
Get Even,-2020,TV-PG,28 min,"Crime, Drama, Thriller",6.4
Surviving Summer,(2022– ),TV-PG,30 min,"Drama, Family",6.5
A Korean Odyssey,(2017–2018),,75 min,"Comedy, Fantasy, Horror",8
Love Wedding Repeat,-2020,TV-MA,100 min,"Comedy, Romance",5.5
Pieles,-2017,TV-MA,77 min,"Comedy, Drama, Fantasy",6.1
Only Yesterday,-1991,PG,119 min,"Animation, Drama, Romance",7.6
An Affair,-2018,,92 min,"Drama, Thriller",5.5
We Summon the Darkness,-2019,R,91 min,"Horror, Music, Thriller",5.2
The Principles of Pleasure,-2022,TV-MA,152 min,Documentary,5.8
The Bar,-2017,,102 min,"Adventure, Comedy, Horror",6.3
Juvenile Justice,(2022– ),TV-MA,60 min,"Crime, Drama",7.9
Ergo Proxy,-2006,TV-14,25 min,"Animation, Action, Adventure",7.9
Pokémon Journeys: The Series,(2019– ),TV-Y7,,"Animation, Adventure, Comedy",6.9
The Immigrant,-2013,R,120 min,"Drama, Romance",6.6
Ascension,-2014,,231 min,"Drama, Sci-Fi",7.1
The Occupant,-2020,TV-MA,103 min,"Adventure, Drama, Horror",6.4
A.N.T. Farm,(2011–2014),TV-G,30 min,"Comedy, Drama, Family",5
Record of Ragnarok,(2021– ),TV-14,24 min,"Animation, Action, Adventure",6.2
Blippi,(2014– ),TV-Y,11 min,Family,6.7
AJ and the Queen,-2020,TV-14,52 min,"Adventure, Comedy, Drama",7.5
Car Masters: Rust to Riches,(2018– ),TV-PG,40 min,Reality-TV,8.4
The Willoughbys,-2020,PG,90 min,"Animation, Adventure, Comedy",6.3
The Cook of Castamar,-2021,TV-MA,,"Drama, Romance",7.4
Signal,-2016,,80 min,"Crime, Drama, Fantasy",8.5
Satan's Slaves,-2017,Not Rated,107 min,"Drama, Horror, Mystery",6.5
Wet Hot American Summer: Ten Years Later,-2017,TV-MA,216 min,Comedy,6.9
History 101,(2020– ),TV-14,22 min,"Documentary, History",6.8
My Roommate Is a Gumiho,-2021,,65 min,"Comedy, Fantasy, Romance",7.7
Who Likes My Follower?,(2022– ),TV-MA,45 min,"Reality-TV, Romance",4.4
The Mothership,-2022,,,"Adventure, Drama, Family",
Let It Snow,-2019,PG-13,92 min,"Comedy, Romance",5.8
The House of Flowers,(2018–2020),TV-MA,60 min,"Comedy, Drama",7.6
Al Hayba,(2017– ),,45 min,"Action, Crime, Romance",7.3
Elisa & Marcela,-2019,TV-MA,118 min,"Biography, Drama, Romance",6.6
Step Up All In,-2014,PG-13,112 min,"Drama, Music, Romance",5.9
Heirs to the Land,-2022,TV-MA,50 min,"Drama, History",7.1
The Ministry of Time,(2015–2020),TV-MA,70 min,"Action, Adventure, Comedy",8.2
Q-Force,-2021,TV-MA,30 min,"Animation, Action, Adventure",6.4
Love 101,(2020–2021),TV-14,40 min,"Comedy, Drama, Romance",7.5
Squid Game: The Challenge,2022,,,"Game-Show, Reality-TV",
Fyre,-2018,TV-MA,97 min,"Documentary, Crime, Music",7.2
Damnation,(2017–2018),TV-MA,60 min,"Crime, Drama, Western",7.6
Rogue City,-2020,TV-MA,116 min,"Action, Crime, Drama",6.1
Work It,-2020,TV-14,93 min,"Comedy, Music",6.1
Step Up 3D,-2010,PG-13,107 min,"Drama, Music, Romance",6.1
Dorohedoro,-2020,TV-MA,25 min,"Animation, Action, Comedy",8.1
Extracurricular,-2020,TV-MA,50 min,"Crime, Drama",7.6
Her Private Life,-2019,,75 min,"Comedy, Romance",7.7
Breach,2020,R,92 min,"Action, Horror, Sci-Fi",2.9
Better Than Us,(2018–2019),,52 min,"Drama, Sci-Fi",7.3
The Quintessential Quintuplets,(2019– ),TV-PG,24 min,"Animation, Comedy, Drama",7.7
Bank Robbers: The Last Great Heist,-2022,TV-14,109 min,"Documentary, Crime",7.1
Pipa,-2022,TV-MA,115 min,"Crime, Drama, Mystery",4.3
Little Britain,(2003–2006),TV-MA,29 min,Comedy,7.7
The Week Of,-2018,TV-14,116 min,Comedy,5.2
Disjointed,(2017–2018),TV-MA,30 min,Comedy,6.7
Ibiza,-2018,TV-MA,94 min,"Comedy, Romance",5.2
Sonic Prime,(2022– ),TV-Y7,22 min,"Animation, Action, Adventure",
A Boy Called Christmas,-2021,PG,106 min,"Adventure, Drama, Family",6.7
Thai Cave Rescue,-2022,TV-14,360 min,"Adventure, Drama, Thriller",7.3
The Unicorn,(2019–2021),TV-PG,22 min,"Comedy, Drama, Family",7.2
Who Rules the World,(2022– ),TV-PG,45 min,"Action, Drama, Fantasy",8.3
Night Stalker: The Hunt for a Serial Killer,-2021,TV-MA,189 min,"Documentary, Crime, Mystery",7.5
Icarus,-2017,TV-MA,120 min,"Documentary, Sport",7.9
Zoe,2018,R,104 min,"Romance, Sci-Fi",6
Boss,(2011–2012),TV-MA,56 min,"Crime, Drama",8.1
Dogs of Berlin,(2018– ),TV-MA,542 min,"Action, Crime, Drama",7.5
Degrassi: Next Class,(2016–2017),TV-PG,30 min,"Drama, Romance",6.8
IO,-2019,TV-14,96 min,"Adventure, Drama, Sci-Fi",4.7
Voltron: Legendary Defender,(2016–2018),TV-Y7-FV,23 min,"Animation, Action, Adventure",8.1
Chickenhare and the Hamster of Darkness,-2022,TV-Y7,91 min,"Animation, Adventure, Comedy",6.3
Untold: Crimes and Penalties,-2021,TV-MA,85 min,"Documentary, Crime, Sport",7.4
Rust Creek,-2018,R,108 min,"Crime, Drama, Thriller",5.9
Thirty Nine,(2022– ),,60 min,"Drama, Romance",7.7
The Twelve,(2019–2020),TV-MA,50 min,"Drama, Thriller",7.4
The Life and Movies of Erşan Kuneri,(2022– ),TV-MA,45 min,Comedy,6.7
T-34,-2018,TV-14,139 min,"Action, War",6.7
Wormwood,-2017,,241 min,"Documentary, Biography, Drama",7
The Mystery of Marilyn Monroe: The Unheard Tapes,-2022,TV-14,101 min,Documentary,6.2
The Siege of Jadotville,-2016,TV-MA,108 min,"Action, Drama, History",7.2
Oddballs,2022,TV-Y7,,"Animation, Comedy, Family",
World Without End,-2012,TV-MA,374 min,"Drama, History, Romance",6.9
Utap,2023,,,"Action, Adventure, Thriller",
Les rivières pourpres,(2018– ),,60 min,"Crime, Mystery, Thriller",6.8
Night Owls,2015,R,90 min,"Comedy, Drama",6.2
Kengan Ashura,(2019– ),TV-MA,24 min,"Animation, Action, Sport",8
Violet Evergarden: The Movie,-2020,,140 min,"Animation, Drama, Fantasy",8.3
Afterlife of the Party,-2021,TV-PG,109 min,"Comedy, Drama, Fantasy",5.8
Gymnastics Academy: A Second Chance!,(2022– ),TV-PG,25 min,"Drama, Family, Sport",8.2
Jaguar,(2021– ),TV-14,50 min,"Action, Drama, History",5.7
Step Sisters,-2018,PG-13,108 min,Comedy,5.4
Another,-2012,TV-MA,300 min,"Animation, Drama, Horror",7.5
Heartsong,-2022,TV-14,95 min,"Comedy, Drama, Music",5.8
The Discovery,2017,TV-MA,102 min,"Drama, Romance, Sci-Fi",6.2
Bonusfamiljen,(2017– ),,44 min,"Comedy, Drama",7.6
Out of Death,-2021,R,96 min,"Crime, Thriller",3.2
The World of the Married,-2020,,80 min,"Drama, Romance",8
Baki Hanma,(2021– ),TV-MA,25 min,"Animation, Action, Drama",6.7
Le chant du loup,-2019,TV-14,115 min,"Action, Thriller",6.9
Ivy + Bean: Doomed to Dance,-2022,TV-G,53 min,"Comedy, Family",6
Henry Gamble's Birthday Party,-2015,Unrated,87 min,Drama,6.1
Weightlifting Fairy Kim Bok-Joo,(2016–2017),,60 min,"Comedy, Romance",8.4
Remarriage & Desires,(2022– ),TV-14,70 min,Drama,7.4
Dhamaka,-2021,TV-14,103 min,"Crime, Drama, Thriller",7.1
The Misfit of Demon King Academy,(2020–2022),TV-14,23 min,"Animation, Adventure, Comedy",7.3
The ABCs of Death,-2012,Not Rated,129 min,"Comedy, Horror",4.7
Final Girl,-2015,R,84 min,"Horror, Thriller",4.7
Spirit Untamed,-2021,PG,88 min,"Animation, Adventure, Comedy",5.5
Greenhouse Academy,(2017–2020),TV-PG,25 min,Drama,6.6
Monarca,(2019–2021),TV-MA,43 min,Drama,7.8
Secret Obsession,-2019,TV-14,97 min,Thriller,4.4
Just Between Lovers,(2017–2018),,70 min,"Drama, Romance",8.2
American Siege,-2021,R,91 min,"Action, Thriller",3.4
Paranormal,-2020,TV-14,45 min,"Drama, Fantasy, Horror",8
Vicky and Her Mystery,-2021,TV-PG,84 min,"Adventure, Drama, Family",6.3
Unsolved: The Murders of Tupac and the Notorious B.I.G.,(2018– ),TV-MA,60 min,"Biography, Crime, Drama",7.8
The Perfect Mother,-2021,TV-MA,192 min,"Drama, Thriller",5.9
Decoupled,(2021– ),,30 min,"Comedy, Drama",7.9
Trigun,-1998,TV-14,24 min,"Animation, Action, Adventure",8.2
Unfrosted,2023,,,Comedy,
The Devil Judge,-2021,TV-14,75 min,"Crime, Drama, Mystery",8.3
Love Tactics,-2022,TV-MA,97 min,"Comedy, Romance",5.2
The Whole Truth,-2016,R,93 min,"Crime, Drama, Mystery",6.2
John Dies at the End,-2012,R,99 min,"Comedy, Fantasy, Horror",6.3
Drive Hard: The Maloof Way,(2022– ),TV-14,32 min,Reality-TV,6.2
The Legend of Drunken Master,-1994,R,102 min,"Action, Comedy",7.5
A California Christmas: City Lights,-2021,PG-13,106 min,"Comedy, Drama, Romance",5.5
Fatal Affair,-2020,TV-14,89 min,Thriller,4.5
The Debt Collector,-2018,Not Rated,95 min,"Action, Comedy",5.8
A Vigilante,-2018,R,91 min,"Crime, Drama, Mystery",5.7
The Daily Life of the Immortal King,(2020– ),TV-14,18 min,"Animation, Action, Adventure",7.2
The Water Man,2020,PG,91 min,"Adventure, Drama, Family",5.5
Prayers for the Stolen,-2021,R,110 min,Drama,7.3
Mezarlik,(2022– ),,105 min,"Crime, Drama, Mystery",7.8
Great Teacher Onizuka,(1999–2000),TV-MA,24 min,"Animation, Comedy, Drama",8.5
The Billion Dollar Code,-2021,TV-MA,267 min,"Biography, Crime, Drama",8
Dasvi,-2022,,125 min,"Comedy, Drama",7.3
Zindagi inShort,-2020,,116 min,"Comedy, Drama, Romance",7.1
Time Trap,-2017,Not Rated,87 min,"Action, Adventure, Mystery",6.2
Explained,(2018– ),TV-MA,18 min,Documentary,8
Watership Down,-2018,TV-PG,204 min,"Animation, Action, Adventure",7.2
Rose Island,-2020,TV-14,117 min,"Adventure, Comedy, Drama",7
Maya and the Three,-2021,TV-Y7,30 min,"Animation, Action, Adventure",8.1
Inside the World's Toughest Prisons,(2016–2022),TV-MA,47 min,Documentary,7.1
Reptile,-2022,,,"Crime, Drama, Thriller",
Flight 7500,-2014,PG-13,80 min,"Drama, Horror, Sci-Fi",4.8
On Body and Soul,-2017,Not Rated,116 min,"Drama, Fantasy, Mystery",7.5
The Christmas Chronicles,-2018,PG,104 min,"Adventure, Comedy, Family",7
To All the Boys: P.S. I Still Love You,-2020,TV-14,101 min,"Comedy, Drama, Romance",6
Ludo,-2020,TV-MA,150 min,"Action, Comedy, Crime",7.6
Falling Into Your Smile,(2021– ),,,Romance,8.4
El Recluso,(2018– ),,60 min,"Drama, Thriller",6.9
No Good Nick,-2019,TV-PG,30 min,"Comedy, Drama, Family",5.9
Collision,-2022,TV-MA,99 min,"Crime, Drama, Thriller",4.1
Gone for Good,-2021,TV-MA,247 min,"Crime, Drama, Mystery",6.3
Selena: The Series,(2020–2021),TV-PG,40 min,"Biography, Drama, Music",6.9
Bullet Head,-2017,R,93 min,"Crime, Drama, Thriller",5.4
The Night Before,2015,R,101 min,"Comedy, Fantasy",6.3
The Summit of the Gods,-2021,PG,95 min,"Animation, Adventure, Drama",7.5
Single Street,-2019,,90 min,"Comedy, Romance",6.1
El marginal,(2016–2022),TV-MA,60 min,"Crime, Drama, Mystery",8.2
Feria: The Darkest Light,-2022,TV-MA,50 min,"Crime, Drama, Fantasy",5.6
Rumspringa,2022,TV-MA,101 min,Comedy,5.4
The Great Hack,-2019,TV-MA,114 min,"Documentary, Biography, History",7
My Babysitter's a Vampire,(2011–2012),TV-PG,22 min,"Action, Comedy, Family",6.9
Lust Stories,-2018,,120 min,"Drama, Romance",6.4
Downfall: The Case Against Boeing,-2022,PG-13,89 min,Documentary,7.4
The Club,(2021–2022),TV-14,55 min,Drama,7.8
Hard Cell,(2022– ),TV-MA,25 min,Comedy,6.3
Nailed It!,(2018– ),TV-PG,33 min,"Game-Show, Reality-TV",7.4
Man Like Mobeen,(2017– ),TV-MA,21 min,Comedy,8
Girl,2018,R,105 min,Drama,7.1
The Bonfire of Destiny,-2019,TV-MA,48 min,"Drama, History",7.6
Boy Swallows Universe,2023,,,Drama,
October Faction,-2020,TV-MA,39 min,"Adventure, Drama, Fantasy",6.1
Close,2019,TV-MA,94 min,"Action, Drama, Thriller",5.7
Flaked,(2016– ),TV-MA,30 min,"Comedy, Drama, Romance",7.2
Toradora!,(2008–2009),TV-14,24 min,"Animation, Comedy, Drama",8
Boy Meets Girl,2014,R,95 min,"Comedy, Drama, Romance",7.1
Yaksha: Ruthless Operations,-2022,TV-14,125 min,"Action, Crime, Thriller",6.2
The Incredible Shrinking Man,-1957,Not Rated,81 min,"Horror, Sci-Fi",7.6
The Christmas Chronicles: Part Two,-2020,PG,112 min,"Adventure, Comedy, Family",6
Survivor,2015,PG-13,96 min,"Action, Crime, Thriller",5.6
Catching Killers,2021,TV-MA,,"Documentary, Crime, Mystery",7.1
A Prayer Before Dawn,-2017,R,116 min,"Action, Biography, Crime",6.8
Trust No One: The Hunt for the Crypto King,-2022,TV-MA,90 min,"Documentary, Crime",6.3
The Courier,-2019,R,99 min,"Action, Crime, Drama",4.8
Dirty Money,(2018– ),TV-14,60 min,"Documentary, Crime",8.1
Love on the Spectrum U.S.,(2022– ),TV-14,40 min,"Documentary, Short, Comedy",8.2
Noragami,(2014–2015),TV-14,24 min,"Animation, Action, Adventure",7.9
Journal 64,-2018,Not Rated,119 min,"Crime, Mystery, Thriller",7.4
The Trial,(2019– ),TV-MA,52 min,"Crime, Thriller",7.2
Chambers,-2019,TV-MA,60 min,"Drama, Fantasy, Horror",6.4
Ala Vaikunthapurramuloo,-2020,Not Rated,163 min,"Action, Comedy, Drama",7.3
Sierra Burgess Is a Loser,-2018,PG-13,105 min,"Comedy, Drama, Romance",5.8
The Smurfs,(1981–1989),TV-Y,30 min,"Animation, Adventure, Comedy",7.2
Trouble,2019,,87 min,"Animation, Adventure, Comedy",5.8
Nightflyers,-2018,TV-14,60 min,"Drama, Horror, Mystery",5.8
Shimmer Lake,-2017,Not Rated,86 min,"Action, Crime, Drama",6.3
Madame Claude,-2021,TV-MA,112 min,"Biography, Crime, Drama",5.4
Pokémon Master Journeys,(2021– ),TV-Y7,50 min,"Animation, Action, Adventure",7.6
Tattoo Redo,(2021– ),TV-MA,,Reality-TV,5.9
Time to Hunt,-2020,TV-MA,134 min,"Action, Crime, Drama",6.3
Concrete Cowboy,-2020,R,111 min,"Drama, Western",6.3
Our Souls at Night,-2017,TV-14,103 min,"Drama, Romance",6.9
Trees of Peace,-2021,TV-MA,97 min,Drama,6.4
Friendzone,-2021,TV-MA,88 min,"Comedy, Romance",5.9
MI-5,-2015,R,104 min,"Action, Drama, Thriller",6.2
Skiptrace,-2016,PG-13,107 min,"Action, Adventure, Comedy",5.6
Grand Designs,(1999– ),TV-G,50 min,"Documentary, Reality-TV",8.5
Paranoid,-2016,,45 min,"Crime, Drama, Mystery",6.6
Do You Like Brahms?,-2020,,65 min,"Drama, Music, Romance",7.6
Tall Girl 2,-2022,TV-PG,97 min,"Comedy, Drama, Family",4.7
The Gentlemen,2023,TV-MA,,"Action, Comedy, Crime",
Atlas,2023,,,"Action, Adventure, Sci-Fi",
Self Made: Inspired by the Life of Madam C.J. Walker,-2020,TV-MA,191 min,"Biography, Drama, History",7.3
Free Rein,(2017–2019),TV-G,26 min,"Action, Adventure, Comedy",7.1
Then Came You,-2018,Not Rated,97 min,"Adventure, Comedy, Drama",6.9
The Great Train Robbery,-2013,Not Rated,90 min,"Biography, Crime, Drama",7.3
Ouran High School Host Club,-2006,TV-14,24 min,"Animation, Comedy, Romance",8.2
Untold: Malice at the Palace,-2021,TV-MA,68 min,"Documentary, Crime, Sport",7.5
The Queen of Black Magic,-2019,Not Rated,99 min,"Drama, Horror, Mystery",6.5
The Indian Detective,-2017,,44 min,"Comedy, Crime, Drama",6.5
Iron Chef: Quest for an Iron Legend,(2022– ),TV-G,45 min,"Game-Show, Reality-TV",7.2
Fight for My Way,-2017,,70 min,"Comedy, Romance",8.1
Samurai Rabbit: The Usagi Chronicles,(2022– ),TV-Y7,25 min,"Animation, Action, Adventure",6.4
Spriggan,(2022– ),TV-MA,45 min,"Animation, Action, Adventure",6.9
The Last Mercenary,-2021,TV-MA,110 min,"Action, Adventure, Comedy",5.3
Leave the World Behind,2023,,,Drama,
High-Rise Invasion,(2021– ),TV-MA,25 min,"Animation, Action, Horror",6.5
Initial D,-2005,TV-PG,107 min,"Action, Comedy, Drama",6.3
Lift,2023,,,"Action, Crime, Drama",
Great Pretender,(2020– ),TV-MA,23 min,"Animation, Action, Adventure",7.9
The Last Summer,-2019,TV-14,109 min,"Comedy, Romance",5.5
Ethos,-2020,TV-MA,50 min,"Drama, Thriller",8.5
A Week Away,-2021,TV-PG,94 min,"Drama, Family, Musical",5.7
The Puppet Master: Hunting the Ultimate Conman,-2022,TV-MA,127 min,"Documentary, Crime",7
The Movies That Made Us,(2019– ),TV-PG,44 min,"Documentary, Family, History",7.6
The Gunman,-2015,R,115 min,"Action, Adventure, Crime",5.8
Badla,-2019,Not Rated,118 min,"Crime, Drama, Mystery",7.8
White as Snow,-2019,,112 min,"Comedy, Drama",5.3
A Whisker Away,-2020,TV-PG,104 min,"Animation, Adventure, Drama",6.7
Centaurworld,-2021,TV-Y7,25 min,"Animation, Short, Adventure",7.6
Little Evil,-2017,TV-MA,94 min,"Comedy, Fantasy, Horror",5.7
Sightless,-2020,Unrated,89 min,"Drama, Thriller",5.5
People Like Us,-2012,PG-13,114 min,"Comedy, Drama",7
Green Eggs and Ham,(2019– ),TV-Y7,26 min,"Animation, Adventure, Comedy",8.1
Our Great National Parks,-2022,TV-PG,50 min,Documentary,7.9
Silverton Siege,-2022,TV-MA,100 min,"Action, Crime, Drama",6.2
In the Shadow of Iris,2016,TV-MA,99 min,"Drama, Thriller",6.1
In the Land of Saints and Sinners,2023,,,Thriller,
The Whole Truth,-2021,TV-MA,125 min,"Drama, Horror, Mystery",5.2
The Open House,-2018,TV-MA,94 min,"Horror, Thriller",3.3
Meteorological Administration People: Office Romance Cruelty,(2022– ),,60 min,"Drama, Romance",7.1
Ultraman,(2019– ),TV-14,25 min,"Animation, Action, Adventure",6.8
Blade of the Immortal,-2017,R,140 min,"Action, Drama, Fantasy",6.7
Viceroy's House,-2017,Not Rated,106 min,"Biography, Drama, History",6.7
Record of Youth,-2020,TV-14,70 min,"Drama, Romance",7.2
Age of Youth,(2016–2017),TV-14,60 min,"Comedy, Drama, Romance",8.3
Liar,-2020,,50 min,Thriller,6.4
Yara,-2021,TV-14,96 min,"Crime, Drama, Thriller",6.3
Spoiled Brats,-2021,TV-14,95 min,Comedy,6
Bordertown: The Mural Murders,-2021,,107 min,"Crime, Drama, Mystery",6.2
Stone of Destiny,-2008,PG,96 min,"Adventure, Comedy, Crime",6.7
Haunted,(2018– ),TV-MA,24 min,"Horror, Reality-TV",4.6
Midnight Diner,(2009–2014),,24 min,Drama,8.6
Death Warrant,-1990,R,89 min,"Action, Crime, Mystery",5.6
DI4RIES,-2022,,30 min,"Comedy, Drama, Family",7.1
Last Breath,-2019,TV-MA,90 min,Documentary,7.7
The Redeem Team,-2022,,97 min,"Documentary, History, Sport",
Ingobernable,(2017– ),TV-MA,40 min,"Crime, Drama, Mystery",7
Painkiller,(2022– ),,,"Crime, Drama",
Blasted,-2022,TV-MA,114 min,"Action, Comedy, Sci-Fi",4.8
Kotaro Lives Alone,(2022– ),TV-14,27 min,"Animation, Comedy, Drama",8.4
Power Rangers Dino Charge,(2015–2016),TV-Y7,21 min,"Action, Adventure, Family",6.4
The Upshaws,(2021– ),TV-14,30 min,"Comedy, Family",6.8
She's Gotta Have It,(2017–2019),TV-MA,30 min,Comedy,6.8
Cheer,(2020–2022),TV-MA,60 min,"Documentary, Sport",8.1
Conversations with a Killer: The John Wayne Gacy Tapes,-2022,TV-MA,183 min,"Documentary, Biography, Crime",7.1
Bling Empire,(2021– ),TV-MA,38 min,Reality-TV,5.8
Sick Note,(2017–2018),TV-MA,30 min,"Comedy, Crime",6.8
Retribution,-2016,TV-MA,231 min,"Drama, Mystery, Thriller",7
Tabula Rasa,-2017,TV-MA,60 min,"Drama, Horror, Thriller",8
"Espejo, Espejo",-2022,,79 min,Comedy,5.4
BRZRKR,2023,,,"Action, Adventure, Drama",
Altrimenti ci arrabbiamo,-2022,,90 min,"Action, Comedy",2.9
Power Rangers Ninja Steel,(2017–2018),TV-Y7,21 min,"Action, Adventure, Drama",5.8
Is It Cake?,(2022– ),TV-PG,40 min,Reality-TV,5.7
Hell Is Other People,(2019– ),,60 min,"Crime, Horror, Mystery",7.8
Backpackers,-2022,TV-MA,96 min,"Comedy, Romance",5.7
The 8th Night,-2021,TV-MA,115 min,"Horror, Thriller",5.3
Sonic Boom,(2014–2017),TV-Y7,11 min,"Animation, Short, Action",6.8
Carmen Sandiego,(2019–2021),TV-Y7-FV,22 min,"Animation, Action, Adventure",7.9
The Taming of the Shrewd,2022,TV-MA,112 min,"Comedy, Romance",4.5
Seal Team,-2021,TV-Y7,101 min,"Animation, Action, Comedy",5.5
Voice,(2017–2021),TV-14,60 min,"Action, Crime, Mystery",7.6
The Frankenstein Chronicles,(2015–2017),TV-MA,48 min,"Crime, Drama, Fantasy",7.2
Ip Man 3,-2015,PG-13,105 min,"Action, Biography, Drama",7
Cobalt Blue,2022,TV-MA,112 min,"Drama, Romance",6.5
Blue Miracle,-2021,TV-PG,95 min,"Adventure, Biography, Drama",6.6
The Tale of Nokdu,-2019,,30 min,"Action, Comedy, History",7.8
"Crouching Tiger, Hidden Dragon: Sword of Destiny",-2016,PG-13,96 min,"Action, Adventure, Drama",6.1
She Was Pretty,-2015,,60 min,"Comedy, Romance",7.6
Bad Blood,(2017–2018),TV-MA,47 min,"Crime, Drama",7.5
Fast & Furious Spy Racers,(2019–2021),TV-Y7-FV,23 min,"Animation, Action, Adventure",5.8
Love Alarm,(2019–2021),TV-MA,50 min,"Comedy, Drama, Romance",6.8
Vanquish,-2021,R,94 min,"Action, Thriller",2.8
Ghost in the Shell: Stand Alone Complex,(2002–2005),TV-MA,24 min,"Animation, Action, Crime",8.5
Sandy Wexler,-2017,TV-14,130 min,Comedy,5.2
Extinct,-2021,TV-Y7,84 min,"Animation, Adventure, Comedy",5.4
Looking Glass,2018,R,103 min,"Mystery, Thriller",4.6
The Coldest Game,-2019,TV-MA,102 min,"History, Sport, Thriller",6.2
Memories of the Alhambra,(2018–2019),TV-MA,60 min,"Drama, Romance, Sci-Fi",7.8
6 Below: Miracle on the Mountain,-2017,PG-13,98 min,"Biography, Drama, Sport",5.7
King of Stonks,-2022,TV-MA,280 min,"Comedy, Drama, Thriller",6.6
I Am the Pretty Thing That Lives in the House,-2016,,89 min,"Drama, Horror, Mystery",4.6
Kipo and the Age of Wonderbeasts,-2020,TV-Y7,24 min,"Animation, Action, Adventure",8.3
Hellsing,(2001–2002),TV-MA,23 min,"Animation, Action, Fantasy",7.8
The Breadwinner,-2017,PG-13,94 min,"Animation, Drama, Family",7.7
Blood & Water,(2020– ),TV-MA,53 min,"Drama, Mystery",6.6
Biohackers,(2020– ),TV-MA,44 min,"Drama, Sci-Fi, Thriller",6.8
Dilwale,-2015,Not Rated,158 min,"Action, Comedy, Drama",5
My Next Guest Needs No Introduction with David Letterman,(2018– ),TV-MA,60 min,Talk-Show,7.8
AlRawabi School for Girls,(2021–2022),TV-14,291 min,Drama,7.4
Lovestruck in the City,(2020– ),TV-14,30 min,"Drama, Romance",7.6
How to Become a Tyrant,(2021– ),TV-14,,"Documentary, Biography, History",7.4
Bulgasal,(2021– ),,60 min,"Drama, Fantasy, Thriller",7.3
Dragon's Lair: The Movie,2022,,,"Animation, Action, Adventure",
Tramps,-2016,,82 min,"Adventure, Romance",6.5
I Lost My Body,-2019,TV-MA,81 min,"Animation, Drama, Fantasy",7.5
Gantz: O,-2016,,95 min,"Animation, Action, Drama",7.1
My Father's Dragon,-2022,PG,99 min,"Animation, Adventure, Comedy",
The Dating Game,2023,,,"Crime, Drama, Mystery",
The Big Show Show,-2020,TV-G,,Comedy,6.3
Next Door,-2005,Unrated,75 min,"Horror, Mystery, Thriller",6.4
SKY Castle,(2018–2019),,75 min,"Drama, Mystery",8.6
How I Became a Super Hero,-2020,TV-MA,97 min,"Action, Adventure, Comedy",5.8
Conversations with a Killer: The Ted Bundy Tapes,-2019,TV-MA,236 min,"Documentary, Biography, Crime",7.7
Are You the One?,(2014– ),TV-14,41 min,"Game-Show, Reality-TV, Romance",6.5
Dive Club,(2021– ),TV-PG,27 min,"Adventure, Drama, Family",6.2
The Stand In,-2020,R,101 min,"Comedy, Drama",4.7
The Ultimatum: Marry or Move On,(2022– ),TV-MA,60 min,Reality-TV,5.4
Scissor Seven,(2018– ),TV-14,13 min,"Animation, Action, Adventure",8.4
Seaspiracy,-2021,TV-14,89 min,"Documentary, Adventure",8.1
The Circle,(2020– ),TV-MA,48 min,"Game-Show, Reality-TV",7.3
Bad and Crazy,(2021–2022),,70 min,"Action, Comedy, Crime",8
Exception,(2022– ),TV-MA,,"Animation, Drama, Horror",
Sunny,-2011,PG-13,124 min,"Comedy, Drama",7.8
